index,anime_id,title,title_english,type,score,genre_list,producer_list,opening_theme,ending_theme,synopsis,related,comb_feat
0,1,Cowboy Bebop,Cowboy Bebop,TV,8.79,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",['Bandai Visual'],"['""Tank!"" by The Seatbelts (eps 1-25)']","['""The Real Folk Blues"" by The Seatbelts feat. Mai Yamane (eps 1-12, 14-25)', '""Space Lion"" by The Seatbelts (ep 13)', '""Blue"" by The Seatbelts feat. Mai Yamane (ep 26)']","In the year 2071, humanity has colonized several of the planets and moons of the solar system leaving the now uninhabitable surface of planet Earth behind. The Inter Solar System Police attempts to keep peace in the galaxy, aided in part by outlaw bounty hunters, referred to as ""Cowboys."" The ragtag team aboard the spaceship Bebop are two such individuals. Mellow and carefree Spike Spiegel is balanced by his boisterous, pragmatic partner Jet Black as the pair makes a living chasing bounties and collecting rewards. Thrown off course by the addition of new members that they meet in their travels—Ein, a genetically engineered, highly intelligent Welsh Corgi; femme fatale Faye Valentine, an enigmatic trickster with memory loss; and the strange computer whiz kid Edward Wong—the crew embarks on thrilling adventures that unravel each member's dark and mysterious past little by little. Well-balanced with high density action and light-hearted comedy, Cowboy Bebop is a space Western classic and an homage to the smooth and improvised music it is named after. [Written by MAL Rewrite]","{'Adaptation': [{'mal_id': 173, 'type': 'manga', 'name': 'Cowboy Bebop', 'url': 'https://myanimelist.net/manga/173/Cowboy_Bebop'}, {'mal_id': 174, 'type': 'manga', 'name': 'Shooting Star Bebop: Cowboy Bebop', 'url': 'https://myanimelist.net/manga/174/Shooting_Star_Bebop__Cowboy_Bebop'}], 'Side story': [{'mal_id': 5, 'type': 'anime', 'name': 'Cowboy Bebop: Tengoku no Tobira', 'url': 'https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira'}, {'mal_id': 17205, 'type': 'anime', 'name': 'Cowboy Bebop: Ein no Natsuyasumi', 'url': 'https://myanimelist.net/anime/17205/Cowboy_Bebop__Ein_no_Natsuyasumi'}], 'Summary': [{'mal_id': 4037, 'type': 'anime', 'name': 'Cowboy Bebop: Yose Atsume Blues', 'url': 'https://myanimelist.net/anime/4037/Cowboy_Bebop__Yose_Atsume_Blues'}]}",tank embark high action cours feat smooth keep improvis mellow inter outlaw unravel chase system yaman hunter enigmat welsh dark polic well fay live bounti sever spiegel mai solar wong real behind individu intellig aboard balanc planet part human densiti littl crew heart carefre jet edward memori thrown make name two past pragmat cowboy femm travel new visual moon blue comedi surfac space earth whiz trickster homag genet valentin drama corgi reward kid mysteri ein comput bandai thrill pair leav strang peac fatal meet team classic refer lion black seatbelt member ragtag boister western loss year attempt music uninhabit spaceship light collect addit bebop folk sci partner engin galaxi aid colon spike adventur
1,5,Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop: The Movie,Movie,8.39,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Space']","['Sunrise', 'Bandai Visual']","['""Ask DNA"" by The Seatbelts featuring Raju Ramayya']","['""Gotta Knock a Little Harder"" by The Seatbelts featuring Mai Yamane']","Another day, another bounty—such is the life of the often unlucky crew of the Bebop. However, this routine is interrupted when Faye, who is chasing a fairly worthless target on Mars, witnesses an oil tanker suddenly explode, causing mass hysteria. As casualties mount due to a strange disease spreading through the smoke from the blast, a whopping three hundred million woolong price is placed on the head of the supposed perpetrator. With lives at stake and a solution to their money problems in sight, the Bebop crew springs into action. Spike, Jet, Faye, and Edward, followed closely by Ein, split up to pursue different leads across Alba City. Through their individual investigations, they discover a cover-up scheme involving a pharmaceutical company, revealing a plot that reaches much further than the ragtag team of bounty hunters could have realized. [Written by MAL Rewrite]","{'Parent story': [{'mal_id': 1, 'type': 'anime', 'name': 'Cowboy Bebop', 'url': 'https://myanimelist.net/anime/1/Cowboy_Bebop'}]}",solut problem routin reach action tanker could unlucki sudden chase cover featur yaman hunter across investig differ suppos three oil head fay live bounti mount plot citi gotta fair ramayya sunris mai realiz involv individu target dna stake million littl life crew casualti spread woolong knock compani jet edward lead discov pursu wit visual anoth alba space close raju place ask sight pharmaceut drama howev explod due mysteri whop harder ein bandai price strang often mass split reveal team much diseas day money blast seatbelt ragtag perpetr interrupt hysteria hundr bebop mar sci caus scheme spring smoke spike worthless follow
2,6,Trigun,Trigun,TV,8.25,"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Shounen']",['Victor Entertainment'],"['""H.T."" by Tsuneo Imahori']","['""Kaze wa Mirai ni Fuku (The Wind Blows to the Future)"" by AKIMA & NEOS']","Vash the Stampede is the man with a $$60,000,000,000 bounty on his head. The reason: he's a merciless villain who lays waste to all those that oppose him and flattens entire cities for fun, garnering him the title ""The Humanoid Typhoon."" He leaves a trail of death and destruction wherever he goes, and anyone can count themselves dead if they so much as make eye contact—or so the rumors say. In actuality, Vash is a huge softie who claims to have never taken a life and avoids violence at all costs. With his crazy doughnut obsession and buffoonish attitude in tow, Vash traverses the wasteland of the planet Gunsmoke, all the while followed by two insurance agents, Meryl Stryfe and Milly Thompson, who attempt to minimize his impact on the public. But soon, their misadventures evolve into life-or-death situations as a group of legendary assassins are summoned to bring about suffering to the trio. Vash's agonizing past will be unraveled and his morality and principles pushed to the breaking point. [Written by MAL Rewrite]","{'Adaptation': [{'mal_id': 703, 'type': 'manga', 'name': 'Trigun', 'url': 'https://myanimelist.net/manga/703/Trigun'}], 'Side story': [{'mal_id': 4106, 'type': 'anime', 'name': 'Trigun: Badlands Rumble', 'url': 'https://myanimelist.net/anime/4106/Trigun__Badlands_Rumble'}]}",entir never action stryfe cost group death fun soon man unravel milli taken principl vash destruct contact minim shounen wherev garner humanoid avoid futur violenc merciless imahori neo head bounti citi fuku mirai softi planet obsess suffer victor reason gunsmok titl life evolv huge rumor situat akima crazi make two stamped past typhoon blow meryl comedi insur tow push eye break drama flatten lay summon thompson assassin leav actual agon dead buffoonish themselv wasteland kaze misadventur oppos much agent tsuneo bring attitud trail entertain wind goe moral attempt trio wast point claim legendari villain sci doughnut impact anyon count public say travers follow adventur
3,7,Witch Hunter Robin,Witch Hunter Robin,TV,7.28,"['Action', 'Mystery', 'Police', 'Supernatural', 'Drama', 'Magic']","['TV Tokyo', 'Bandai Visual', 'Dentsu', 'Victor Entertainment']","['""Shell"" by Bana']","['""Half Pain"" by Bana (eps 01-14,16-25)', '""Shell (instrumental)"" by Bana (eps 15,26)']","Witches are individuals with special powers like ESP, telekinesis, mind control, etc. Robin, a 15-year-old craft user, arrives from Italy to Japan to work for an organization named STN Japan Division (STN-J) as a replacement for one of STN-J's witch hunters who was recently killed. Unlike other divisions of STN, STN-J tries to capture the witches alive in order to learn why and how they became witches in the first place. (Source: ANN)",{},becam recent old mind itali instrument like action visual etc divis tri first craft aliv esp control witch robin work entertain captur half kill place individu tokyo one order supernatur power victor magic year unlik drama whi mysteri special sourc dentsu bana hunter bandai replac stn learn telekinesi user arriv polic name pain japan shell organ
4,8,Bouken Ou Beet,Beet the Vandel Buster,TV,6.98,"['Adventure', 'Fantasy', 'Shounen', 'Supernatural']","['TV Tokyo', 'Dentsu']","['""Emotion"" by Sunbrain', '""Wish Men"" by Sunbrain']","['""pureness"" by Nana Kitade (eps 1-13)', '""Dreaming under the moon"" by Miliyah Kato (eps 14-26)', '""The Bee of Love"" by Babee (eps 27-39)', '""Tsuki Akari"" by Nanami (eps 40-52)']","It is the dark century and the people are suffering under the rule of the devil, Vandel, who is able to manipulate monsters. The Vandel Busters are a group of people who hunt these devils, and among them, the Zenon Squad is known to be the strongest busters on the continent. A young boy, Beet, dreams of joining the Zenon Squad. However, one day, as a result of Beet's fault, the Zenon squad was defeated by the devil, Beltose. The five dying busters sacrificed their life power into their five weapons, Saiga. After giving their weapons to Beet, they passed away. Years have passed since then and the young Vandel Buster, Beet, begins his adventure to carry out the Zenon Squad's will to put an end to the dark century.","{'Adaptation': [{'mal_id': 1348, 'type': 'manga', 'name': 'Boukenou Beet', 'url': 'https://myanimelist.net/manga/1348/Boukenou_Beet'}], 'Sequel': [{'mal_id': 1123, 'type': 'anime', 'name': 'Bouken Ou Beet Excellion', 'url': 'https://myanimelist.net/anime/1123/Bouken_Ou_Beet_Excellion'}]}",akari manipul away centuri monster sinc bee known hunt five nana moon give babe carri pass defeat strongest fault kato group emot young love tokyo one result supernatur power suffer among year contin life miliyah put howev beltos die sacrif dentsu nanami end shounen tsuki pure squad fantasi wish abl kitad join day sunbrain devil buster zenon beet dream dark begin weapon peopl boy rule men saiga vandel adventur
5,15,Eyeshield 21,Eyeshield 21,TV,7.97,"['Action', 'Sports', 'Comedy', 'Shounen']","['TV Tokyo', 'Nihon Ad Systems', 'TV Tokyo Music', 'Shueisha']","['""Breakthrough"" by Coming Century (eps 1-35)', '""Innocence"" by 20th Century (ep 36- 64)', '""Dang Dang"" by ZZ (eps 65-103)', '""BLAZE LINE"" by BACK-ON (ep 104-126)', '""Hanno no Runningback"" by SHORT LEG SUMMER (eps 127-145)']","['""Be Free"" by Rikken\'z (eps 1-13)', '""Blaze Away"" by TRAX (eps 14-35)', '""Goal"" by Arashiro Beni (eps 36-64)', '""Run to Win"" by Mamori (Aya Hirano), Sena (Miyu Irino), Kurita (Koichi Nagano), Rimon (Kappei Yamaguchi) (eps 65 - 100)', '""A day dreaming..."" by BACK-ON (eps 101-116)', '""Flower"" by BACK-ON (eps 117-126)', '""Song of Power"" by SHORT LEG SUMMER (eps 127-144)', '""Dang Dang"" by ZZ (ep 145)']","Sena is like any other shy kid starting high school; he's just trying to survive. Constantly bullied, he's accustomed to running away. Surviving high school is about to become a lot more difficult after Hiruma, captain of the school's American football team, witnesses Sena's incredible agility and speed during an escape from some bullies. Hiruma schemes to make Sena the running back of his school team, The Devil Bats, hoping that it will turn around the squad's fortunes from being the laughingstock of Japan's high school leagues, to title contender. To protect his precious star player from rivaling recruiters, he enlists Sena as ""team secretary,"" giving him a visored helmet and the nickname ""Eyeshield 21"" to hide his identity. The Devilbats will look to make their way to the Christmas Bowl, an annual tournament attended by the best football teams in Japan, with ""Eyeshield 21"" leading the way. Will they be able to win the Christmas Bowl? Will Sena be able to transform from a timid, undersized freshman to an all-star player? Put on your pads and helmet to find out!","{'Adaptation': [{'mal_id': 43, 'type': 'manga', 'name': 'Eyeshield 21', 'url': 'https://myanimelist.net/manga/43/Eyeshield_21'}], 'Side story': [{'mal_id': 1317, 'type': 'anime', 'name': 'Eyeshield 21: Maboroshi no Golden Bowl', 'url': 'https://myanimelist.net/anime/1317/Eyeshield_21__Maboroshi_no_Golden_Bowl'}, {'mal_id': 6418, 'type': 'anime', 'name': 'Eyeshield 21: Jump Festa 2005 Special', 'url': 'https://myanimelist.net/anime/6418/Eyeshield_21__Jump_Festa_2005_Special'}]}",bulli centuri high action give bowl flower escap arashiro find enlist put system accustom shounen visor devil kurita nicknam hide fortun around protect breakthrough miyu hiruma bat dang irino like beni tri nagano christma dure mamori blaze tokyo lot laughingstock summer titl attend turn hope innoc ani nihon free lead leagu make best japan constant secretari koichi way away recruit american wit rival sport comedi devilbat goal speed freshman song win kid runningback timid leg surviv start squad look abl hanno short team shi precious back difficult day kappei hirano rimon pad captain shueisha player footbal transform come unders power helmet agil tournament music run trax annual becom line yamaguchi incred rikken aya eyeshield dream star ident sena scheme contend school
6,16,Hachimitsu to Clover,Honey and Clover,TV,8.08,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']","['Genco', 'Fuji TV', 'Shueisha']","['""Dramatic"" by Yuki']","['""Waltz"" by Suneohair (eps 1-12, 24)', '""Mistake"" by THE BAND HAS NO NAME (eps 13-23)']","Yuuta Takemoto, a sophomore at an arts college, shares a cheap apartment with two seniors—the eccentric Shinobu Morita, who keeps failing to graduate due to his absenteeism, and the sensible Takumi Mayama, who acts as a proper senior to Takemoto, often looking out for him. Takemoto had not given much thought to his future until one fine spring day, when he meets the endearing Hagumi Hanamoto and falls in love at first sight. Incredibly gifted in the arts, Hagumi enrolls in Takemoto's university and soon befriends the popular pottery student Ayumi Yamada. Ayumi is already well acquainted with the three flatmates and secretly harbors deep feelings for one of them. Hachimitsu to Clover is a heartwarming tale of youth, love, soul-searching, and self-discovery, intricately woven through the complex relationships between five dear friends. [Written by MAL Rewrite]","{'Adaptation': [{'mal_id': 1009, 'type': 'manga', 'name': 'Hachimitsu to Clover', 'url': 'https://myanimelist.net/manga/1009/Hachimitsu_to_Clover'}], 'Side story': [{'mal_id': 644, 'type': 'anime', 'name': 'Hachimitsu to Clover Specials', 'url': 'https://myanimelist.net/anime/644/Hachimitsu_to_Clover_Specials'}], 'Sequel': [{'mal_id': 1142, 'type': 'anime', 'name': 'Hachimitsu to Clover II', 'url': 'https://myanimelist.net/anime/1142/Hachimitsu_to_Clover_II'}]}",relationship first flatmat keep takumi univers tale senior soon fall morita popular woven friend enrol youth colleg fine thought futur complex proper potteri well three absente endear fail alreadi sensibl cheap deep josei life fuji ayumi secret clover name two yuki yamada hagumi romanc dramat five self comedi soul feel eccentr love sight art genco share slice band drama act acquaint due student mayama look hanamoto often dear waltz meet mistak much day given shueisha befriend shinobu takemoto apart sophomor one harbor gift hachimitsu graduat suneohair heartwarm incred yuuta search spring discoveri intric
7,17,Hungry Heart: Wild Striker,Hungry Heart: Wild Striker,TV,7.6,"['Slice of Life', 'Comedy', 'Sports', 'Shounen']",[],"['""2nd Stage"" by Kids Alive (eps 01-42)', '""Kiseki no Tsubasa"" by Natsuki Kato (eps 43-52)']","['""Mi Title"" by Utaibito Hane (eps 1-12)', '""Tell Tell Bouzu"" by KOKIA (eps 13-39)', '""Watashi no Taiyou"" by KOKIA (eps 40-51)', '""2nd Stage"" by Kids Alive (ep 52)']","Kyosuke Kano has lived under the shadow of his successful brother Seisuke all his life who is a professional soccer player. Tired of being compared and downgraded at, he abandoned playing soccer until a boy from his new highschool discovered him and asked him to join their team. Kyosuke joins it and befriends two other first year players named Rodrigo and Sakai with the dream of becoming professional soccer players themselves. (Source: ANN)","{'Adaptation': [{'mal_id': 4147, 'type': 'manga', 'name': 'Hungry Heart', 'url': 'https://myanimelist.net/manga/4147/Hungry_Heart'}]}",tell tsubasa soccer player compar brother play new sport hane kyosuk befriend first comedi aliv success abandon kato kokia shadow ask highschool taiyou utaibito kiseki titl life slice profession tire year watashi kid sourc shounen becom join natsuki bouzu kano dream sakai rodrigo name boy stage downgrad seisuk discov two themselv team live
8,18,Initial D Fourth Stage,Initial D Fourth Stage,TV,8.17,"['Action', 'Cars', 'Sports', 'Drama', 'Seinen']","['OB Planning', 'Studio Jack']","['""Dogfight"" by move (eps 01-10)', '""Noizy Tribe"" by move (eps 11-24)']","['""Blast My Desire"" by move (eps 01-10)', '""Nobody reason ~ Noah no Hakobune"" by move (eps 11-24)']","Takumi Fujiwara and brothers Keisuke and Ryousuke Takahashi have formed ""Project D,"" a racing team aimed at bringing their driving skills to their full potential outside their prefecture. Using the internet, Project D issues challenges to other racing teams and posts results of their races. Managed by Ryousuke, the team has Takumi engaging in downhill battles with his AE86, while Keisuke challenges opponents uphill. Among their rivals are the Seven-Star Leaf (SSR) and Todo-juku.","{'Adaptation': [{'mal_id': 375, 'type': 'manga', 'name': 'Initial D', 'url': 'https://myanimelist.net/manga/375/Initial_D'}], 'Prequel': [{'mal_id': 187, 'type': 'anime', 'name': 'Initial D Third Stage', 'url': 'https://myanimelist.net/anime/187/Initial_D_Third_Stage'}], 'Summary': [{'mal_id': 3931, 'type': 'anime', 'name': 'Initial D Battle Stage 2', 'url': 'https://myanimelist.net/anime/3931/Initial_D_Battle_Stage_2'}], 'Side story': [{'mal_id': 5228, 'type': 'anime', 'name': 'Initial D Extra Stage 2', 'url': 'https://myanimelist.net/anime/5228/Initial_D_Extra_Stage_2'}], 'Sequel': [{'mal_id': 15059, 'type': 'anime', 'name': 'Initial D Fifth Stage', 'url': 'https://myanimelist.net/anime/15059/Initial_D_Fifth_Stage'}]}",prefectur noah desir uphil juku bring action brother rival oppon sport jack blast race noizi aim takumi move use hakobun issu leaf downhil result seven seinen among reason post fujiwara internet battl drama skill outsid form plan dogfight tribe project full ssr studio ryousuk challeng potenti star nobodi drive keisuk manag engag team takahashi todo car
9,19,Monster,Monster,TV,8.72,"['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']","['VAP', 'Shogakukan Productions', 'Nippon Television Network']","['""Grain"" by Kuniaki Haishima']","['""For The Love of Life"" by David Sylvian (eps 1-32)', '""Make It Home"" by Fujiko Heming (eps 33-74)']","Dr. Kenzou Tenma, an elite neurosurgeon recently engaged to his hospital director's daughter, is well on his way to ascending the hospital hierarchy. That is until one night, a seemingly small event changes Dr. Tenma's life forever. While preparing to perform surgery on someone, he gets a call from the hospital director telling him to switch patients and instead perform life-saving brain surgery on a famous performer. His fellow doctors, fiancée, and the hospital director applaud his accomplishment; but because of the switch, a poor immigrant worker is dead, causing Dr. Tenma to have a crisis of conscience. So when a similar situation arises, Dr. Tenma stands his ground and chooses to perform surgery on the young boy Johan Liebert instead of the town's mayor. Unfortunately, this choice leads to serious ramifications for Dr. Tenma—losing his social standing being one of them. However, with the mysterious death of the director and two other doctors, Dr. Tenma's position is restored. With no evidence to convict him, he is released and goes on to attain the position of hospital director. Nine years later when Dr. Tenma saves the life of a criminal, his past comes back to haunt him—once again, he comes face to face with the monster he operated on. He must now embark on a quest of pursuit to make amends for the havoc spread by the one he saved. [Written by MAL Rewrite]","{'Adaptation': [{'mal_id': 1, 'type': 'manga', 'name': 'Monster', 'url': 'https://myanimelist.net/manga/1/Monster'}], 'Summary': [{'mal_id': 1109, 'type': 'anime', 'name': 'Monster Extra: Hottan', 'url': 'https://myanimelist.net/anime/1109/Monster_Extra__Hottan'}, {'mal_id': 39332, 'type': 'anime', 'name': 'Monster Special Edition', 'url': 'https://myanimelist.net/anime/39332/Monster_Special_Edition'}]}",tell switch vap embark patient aris director home death doctor convict social town becaus attain restor neurosurgeon famous crimin unfortun applaud polic well engag forev havoc shogakukan prepar horror worker perform posit night lose life psycholog crisi choic nine thriller spread network accomplish kenzou situat sylvian surgeri lead someon serious later make two johan past instead small heme oper way quest brain hospit must young love amend seinen haishima fianc onc pursuit drama stand howev similar mysteri hierarchi ground tenma dead fellow mayor televis daughter back liebert ramif chang poor call recent nippon monster fujiko elit david choos come conscienc goe one year evid event seem product ascend immigr kuniaki haunt save caus grain boy face releas get
