index,anime_id,title,title_english,type,score,genre_list,producer_list,opening_theme,ending_theme,synopsis,related,comb_feat
1,5,Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop: The Movie,Movie,8.39,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Space']","['Sunrise', 'Bandai Visual']","['""Ask DNA"" by The Seatbelts featuring Raju Ramayya']","['""Gotta Knock a Little Harder"" by The Seatbelts featuring Mai Yamane']","Another day, another bounty—such is the life of the often unlucky crew of the Bebop. However, this routine is interrupted when Faye, who is chasing a fairly worthless target on Mars, witnesses an oil tanker suddenly explode, causing mass hysteria. As casualties mount due to a strange disease spreading through the smoke from the blast, a whopping three hundred million woolong price is placed on the head of the supposed perpetrator. With lives at stake and a solution to their money problems in sight, the Bebop crew springs into action. Spike, Jet, Faye, and Edward, followed closely by Ein, split up to pursue different leads across Alba City. Through their individual investigations, they discover a cover-up scheme involving a pharmaceutical company, revealing a plot that reaches much further than the ragtag team of bounty hunters could have realized. [Written by MAL Rewrite]","{'Parent story': [{'mal_id': 1, 'type': 'anime', 'name': 'Cowboy Bebop', 'url': 'https://myanimelist.net/anime/1/Cowboy_Bebop'}]}",solut problem routin reach action tanker could unlucki sudden chase cover featur yaman hunter across investig differ suppos three oil head fay live bounti mount plot citi gotta fair ramayya sunris mai realiz involv individu target dna stake million littl life crew casualti spread woolong knock compani jet edward lead discov pursu wit visual anoth alba space close raju place ask sight pharmaceut drama howev explod due mysteri whop harder ein bandai price strang often mass split reveal team much diseas day money blast seatbelt ragtag perpetr interrupt hysteria hundr bebop mar sci caus scheme spring smoke spike worthless follow
21,31,Neon Genesis Evangelion: Death & Rebirth,Neon Genesis Evangelion: Death & Rebirth,Movie,7.45,"['Drama', 'Mecha', 'Psychological', 'Sci-Fi']","['Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka']",[],"['""Kanon D-dur (Death ending)"" by Shiro Sagisu', '""Tamashii No Rufuran (Soul Refrain) (Rebirth ending)"" by Yoko Takahashi']","In the year 2015, more than a decade has passed since the catastrophic event known as Second Impact befell mankind. During this time of recovery, a select few learned of beings known as the Angels—colossal malevolent entities with the intention of triggering the Third Impact and wiping out the rest of humanity. Called into the city of Tokyo-3 by his father Gendou Ikari, teenager Shinji is thrust headlong into humanity's struggle. Separated from Gendou since the death of his mother, Shinji presumes that his father wishes to repair their shattered familial bonds; instead, he discovers that he was brought to pilot a giant machine capable of fighting the Angels, Evangelion Unit-01. Forced to battle against wave after wave of mankind's greatest threat, the young boy finds himself caught in the middle of a plan that could affect the future of humanity forever. [Written by MAL Rewrite]","{'Parent story': [{'mal_id': 30, 'type': 'anime', 'name': 'Neon Genesis Evangelion', 'url': 'https://myanimelist.net/anime/30/Neon_Genesis_Evangelion'}]}",known machin death could select find thrust decad sagisu movic father bond angel wish futur evangelion recoveri rufuran forev citi dure audio shiro tokyo intent capabl human affect psycholog sega time dur wave refrain shatter mother discov instead separ second tanaka rebirth pass soul threat young shinji yoko mankind giant catastroph fight befel presum battl drama ikari end rest plan headlong pilot learn entiti greatest trigger takahashi struggl caught call coloss kanon middl repair brought wipe third tamashii famili teenag year malevol music event mecha sci forc unit boy impact gendou sinc
22,32,Neon Genesis Evangelion: The End of Evangelion,Neon Genesis Evangelion: The End of Evangelion,Movie,8.51,"['Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']","['TV Tokyo', 'Toei Animation', 'Kadokawa Shoten', 'Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka']",[],"['""Thanatos -If I Can\'t Be Yours-"" by Loren & Mash']","With the final Angel vanquished, Nerv has one last enemy left to face—the humans under Seele's command. Left in a deep depression nearing the end of the original series, an indecisive Shinji Ikari struggles with the ultimatum presented to him: to completely accept mankind's existence, or renounce humanity's individuality. Meanwhile, at the core of a compromised Nerv, Gendou Ikari and Rei Ayanami approach Lilith in an attempt to realize their own ideals concerning the future of the world. The End of Evangelion serves as an alternate ending to the polarizing final episodes of Neon Genesis Evangelion. With the fate of the universe hanging in the balance, the climactic final battle draws near. [Written by MAL Rewrite]","{'Prequel': [{'mal_id': 30, 'type': 'anime', 'name': 'Neon Genesis Evangelion', 'url': 'https://myanimelist.net/anime/30/Neon_Genesis_Evangelion'}]}",thanato episod tanaka struggl renounc deep command nerv serv approach toei realiz hang univers audio ultimatum shinji accept rei climact mankind individu tokyo one near complet ayanami human altern kadokawa origin fate balanc compromis battl meanwhil music psycholog shoten drama movic indecis attempt polar ikari anim enemi sega end lilith genesi draw seel angel ideal world last futur mecha neon dementia evangelion sci loren mash face gendou vanquish left present core depress seri exist final concern
24,43,Koukaku Kidoutai,Ghost in the Shell,Movie,8.3,"['Action', 'Mecha', 'Police', 'Psychological', 'Sci-Fi', 'Seinen']","['Bandai Visual', 'Kodansha']","['""Making of a Cyborg"" Kenji Kawai']",['Reincarnation by Kenji Kawai'],"In the year 2029, Niihama City has become a technologically advanced metropolis. Due to great improvements in cybernetics, its citizens are able to replace their limbs with robotic parts. The world is now more interconnected than ever before, and the city's Public Security Section 9 is responsible for combating corruption, terrorism, and other dangerous threats following this shift towards globalization. The strong-willed Major Motoko Kusanagi of Section 9 spearheads a case involving a mysterious hacker known only as the ""Puppet Master,"" who leaves a trail of victims stripped of their memories. Like many in this futuristic world, the Puppet Master's body is almost entirely robotic, giving them incredible power. As Motoko and her subordinates follow the enigmatic criminal's trail, other parties—including Section 6—start to get involved, forcing her to confront the extremely complicated nature of the case. Pondering about various philosophical questions, such as her own life's meaning, Motoko soon realizes that the one who will provide these answers is none other than the Puppet Master themself. [Written by MAL Rewrite]","{'Adaptation': [{'mal_id': 1023, 'type': 'manga', 'name': 'Koukaku Kidoutai: The Ghost in the Shell', 'url': 'https://myanimelist.net/manga/1023/Koukaku_Kidoutai__The_Ghost_in_the_Shell'}], 'Alternative setting': [{'mal_id': 467, 'type': 'anime', 'name': 'Koukaku Kidoutai: Stand Alone Complex', 'url': 'https://myanimelist.net/anime/467/Koukaku_Kidoutai__Stand_Alone_Complex'}, {'mal_id': 27411, 'type': 'anime', 'name': 'Koukaku Kidoutai: Shin Movie', 'url': 'https://myanimelist.net/anime/27411/Koukaku_Kidoutai__Shin_Movie'}, {'mal_id': 38799, 'type': 'anime', 'name': 'Koukaku Kidoutai: SAC_2045', 'url': 'https://myanimelist.net/anime/38799/Koukaku_Kidoutai__SAC_2045'}], 'Sequel': [{'mal_id': 468, 'type': 'anime', 'name': 'Innocence', 'url': 'https://myanimelist.net/anime/468/Innocence'}], 'Alternative version': [{'mal_id': 4672, 'type': 'anime', 'name': 'Koukaku Kidoutai 2.0', 'url': 'https://myanimelist.net/anime/4672/Koukaku_Kidoutai_20'}]}",spearhead entir known niihama action great almost give confront global terror strong soon themself citizen limb mani enigmat befor crimin major interconnect polic metropoli subordin kodansha technolog kenji danger improv citi puppet like cybernet realiz kawai involv part life psycholog hacker mean section futurist world memori provid make combat motoko visual threat natur master robot seinen kusanagi answer due mysteri philosoph bandai respons corrupt start question leav replac abl ponder onli shift parti case various trail toward one power year victim secur bodi complic reincarn advanc ever becom extrem incred mecha strip sci forc cyborg none includ get public follow
27,46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Samurai X: The Motion Picture,Movie,7.57,"['Samurai', 'Historical', 'Drama', 'Shounen']","['Fuji TV', 'Sony Music Entertainment']","['""Niji (虹)"" by L\'arc-en-Ciel']","['""Towa no Mirai (永遠の未来 - Eternal Future)"" by Animetal']","The war against the Tokugawa Shogunate ended years ago. But there are some who are not happy with the outcome. Shigure Takimi watched his friends and family get slashed down in the name of freedom and prosperity. Now he and a band of desperate rebels have sworn to settle one final score. Only one man stands in their way: Kenshin Himura. But when Shigure discovers Kenshin's true identity as the Hitokiri Battousai, his fight becomes a personal vendetta. (Source: ANN)","{'Parent story': [{'mal_id': 45, 'type': 'anime', 'name': 'Rurouni Kenshin: Meiji Kenkaku Romantan', 'url': 'https://myanimelist.net/anime/45/Rurouni_Kenshin__Meiji_Kenkaku_Romantan'}]}",soni way tokugawa rebel shogun person war prosper himura mirai hitokiri etern entertain ago famili one man fight year vendetta music fuji drama friend band stand niji towa sourc end shounen histor freedom animet sworn kenshin becom shigur futur settl outcom true onli desper ciel happi samurai ident battousai name discov arc watch score takimi slash get final
28,47,Akira,AKIRA,Movie,8.16,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Horror', 'Supernatural', 'Seinen']","['Mainichi Broadcasting System', 'Kodansha', 'Toho']",[],"['""Kaneda"" by Geinoh Yamashiro-gumi']","Japan, 1988. An explosion caused by a young boy with psychic powers tears through the city of Tokyo and ignites the fuse that leads to World War III. In order to prevent any further destruction, he is captured and taken into custody, never to be heard from again. Now, in the year 2019, a restored version of the city known as Neo-Tokyo—an area rife with gang violence and terrorism against the current government—stands in its place. Here, Shoutarou Kaneda leads ""the Capsules,"" a group of misfits known for riding large, custom motorcycles and being in constant conflict with their rivals ""the Clowns."" During one of these battles, Shoutarou's best friend Tetsuo Shima is caught up in an accident with an esper who finds himself in the streets of Tokyo after escaping confinement from a government institution. Through this encounter, Tetsuo begins to develop his own mysterious abilities, as the government seeks to quarantine this latest psychic in a desperate attempt to prevent him from unleashing the destructive power that could once again bring the city to its knees. [Written by MAL Rewrite]","{'Adaptation': [{'mal_id': 664, 'type': 'manga', 'name': 'Akira', 'url': 'https://myanimelist.net/manga/664/Akira'}], 'Alternative version': [{'mal_id': 40054, 'type': 'anime', 'name': 'Akira (Shin Anime)', 'url': 'https://myanimelist.net/anime/40054/Akira_Shin_Anime'}]}",mainichi current capsul known never action broadcast toho ignit group escap terror could quarantin custom find friend taken system destruct ride motorcycl restor shoutarou govern violenc encount desper gumi kodansha neo clown citi gang horror war dure tokyo rife seek fuse unleash heard world ani militari lead best misfit japan constant area custodi rival confin shima psychic street young place order supernatur seinen esper battl onc stand mysteri abil yamashiro institut iii begin kaneda tetsuo caught knee develop explos version latest larg geinoh bring captur one power conflict year tear attempt accid sci caus boy prevent adventur
35,54,Appleseed (Movie),Appleseed (Movie),Movie,7.12,"['Action', 'Military', 'Sci-Fi', 'Police', 'Drama', 'Mecha', 'Shounen']","['Mainichi Broadcasting System', 'Toho', 'TYO Animations', 'TYO']","['""Good Luck"" by Basement Jaxx']","['""Anthem"" by Boom Boom Satellites']","Growing out of the chaos of a global war, the city of Utopia is populated by humans and bioroids (artificial humans). On the surface, everything is harmonious, but tensions lurk. Into this seemingly perfect society comes a survivor of the wars, Deunan Knute, who carries a legacy that will turn out to be of critical importance to the future of humanity. (Source: ANN)","{'Alternative version': [{'mal_id': 937, 'type': 'anime', 'name': 'Appleseed', 'url': 'https://myanimelist.net/anime/937/Appleseed'}, {'mal_id': 22677, 'type': 'anime', 'name': 'Appleseed Alpha', 'url': 'https://myanimelist.net/anime/22677/Appleseed_Alpha'}], 'Sequel': [{'mal_id': 2969, 'type': 'anime', 'name': 'Appleseed Saga Ex Machina', 'url': 'https://myanimelist.net/anime/2969/Appleseed_Saga_Ex_Machina'}]}",tyo survivor mainichi citi bioroid lurk critic anthem import action grow satellit war broadcast good carri surfac toho come global artifici utopia legaci human tension basement turn drama system sourc jaxx anim shounen societi seem knute popul deunan perfect futur mecha militari everyth sci boom harmoni polic luck chao
62,83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,Mobile Suit Gundam: The 08th MS Team - Miller's Report,Movie,6.81,"['Military', 'Sci-Fi', 'Drama', 'Romance', 'Mecha']","['Sotsu', 'Atelier Musa']",[],"['""Eien no Tobira (Gateway to Forever)"" by Chihiro Yonekura']","Shortly after being rescued off the Himalayas, Federation Ensign Shiro Amada is accused of espionage due to his encounter with Zeon's top-secret mobile armor. Intelligence officer Alice Miller is assigned to investigate on Shiro's whereabouts during his disappearance. Her documented findings will determine whether or not Shiro is a traitor, and what his fate will be as commander of the 08th MS Team. (Source: ANN)","{'Full story': [{'mal_id': 81, 'type': 'anime', 'name': 'Mobile Suit Gundam: The 08th MS Team', 'url': 'https://myanimelist.net/anime/81/Mobile_Suit_Gundam__The_08th_MS_Team'}]}",forev gateway romanc command yonekura assign dure chihiro zeon rescu eien disappear espionag shiro intellig feder find fate mobil whereabout determin drama due top sourc musa offic himalaya tobira secret ateli document mecha militari encount short armor ensign investig sci sotsu accus team traitor whether alic miller amada
66,87,Mobile Suit Gundam: Char's Counterattack,Mobile Suit Gundam: Char's Counterattack,Movie,7.68,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']","['Sotsu', 'Nozomi Entertainment', 'Atelier Musa']",[],"['""Beyond The Time ~ Möbius No Sora o Koete (Beyond Möbius\' Space)"" by TM Network']","The year is Universal Century 0093. Char Aznable has taken command of Neo Zeon, the rebels of outer space. He firmly believes that humankind can only achieve peace by relocating to space. Thus, he plans to crash the giant asteroid Axis into Earth and plunge the planet into an uninhabitable winter. Char also eagerly anticipates this opportunity to settle a 14-year rivalry with Amuro Ray. The two have been reluctant allies at times, but Char has never forgiven Amuro for causing the death of one of his comrades during the One Year War. Only the Earth Federation's Londo Bell Unit has the power to stop Char from fulfilling his dangerous goal. Leading the defense of Earth is veteran captain Bright Noa and Amuro Ray with the latest Nu Gundam mobile suit. In this thrilling conclusion to the original Gundam series, Londo Bell engages in a final conflict with Neo Zeon that will decide the fate of Earth and end this long-standing rivalry—once and for all. [Written by MAL Rewrite]","{'Adaptation': [{'mal_id': 30591, 'type': 'manga', 'name': 'Kidou Senshi Gundam: Gyakushuu no Char - High Streamer', 'url': 'https://myanimelist.net/manga/30591/Kidou_Senshi_Gundam__Gyakushuu_no_Char_-_High_Streamer'}, {'mal_id': 68983, 'type': 'manga', 'name': 'Kidou Senshi Gundam: Gyakushuu no Char', 'url': 'https://myanimelist.net/manga/68983/Kidou_Senshi_Gundam__Gyakushuu_no_Char'}], 'Prequel': [{'mal_id': 86, 'type': 'anime', 'name': 'Mobile Suit Gundam ZZ', 'url': 'https://myanimelist.net/anime/86/Mobile_Suit_Gundam_ZZ'}], 'Sequel': [{'mal_id': 6336, 'type': 'anime', 'name': 'Mobile Suit Gundam Unicorn', 'url': 'https://myanimelist.net/anime/6336/Mobile_Suit_Gundam_Unicorn'}, {'mal_id': 32792, 'type': 'anime', 'name': 'Mobile Suit Gundam Unicorn RE:0096', 'url': 'https://myanimelist.net/anime/32792/Mobile_Suit_Gundam_Unicorn_RE_0096'}], 'Summary': [{'mal_id': 14007, 'type': 'anime', 'name': 'Akai Shouzou: Char, Soshite Frontal e', 'url': 'https://myanimelist.net/anime/14007/Akai_Shouzou__Char_Soshite_Frontal_e'}, {'mal_id': 24371, 'type': 'anime', 'name': 'Mobile Suit Gundam Unicorn: Episode EX - 100 Years of Solitude', 'url': 'https://myanimelist.net/anime/24371/Mobile_Suit_Gundam_Unicorn__Episode_EX_-_100_Years_of_Solitude'}, {'mal_id': 40464, 'type': 'anime', 'name': 'Mobile Suit Gundam: Hikaru Inochi Chronicle U.C.', 'url': 'https://myanimelist.net/anime/40464/Mobile_Suit_Gundam__Hikaru_Inochi_Chronicle_UC'}]}",centuri never eager thus univers firm death taken char noa achiev plung axi beyond reluct koet neo engag final danger asteroid rebel suit war dure zeon planet aznabl origin fate londo musa time network militari lead sotsu two defens fulfil winter bell space earth forgiven sora alli long giant feder goal mobil onc drama stand comrad end plan outer also thrill rivalri veteran reloc peac onli crash ray opportun seri nozomi gundam stop latest captain command entertain decid one power conflict bius year anticip uninhabit believ ateli settl mecha bright sci caus unit amuro humankind conclus
67,88,Mobile Suit Gundam F91,Mobile Suit Gundam F91,Movie,6.71,"['Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']","['Sotsu', 'Shochiku', 'Atelier Musa', 'Nagoya Broadcasting Network']","['""Kimi no Mitsumete -The Time I\'m Seeing You-"" by Hiroko Moriguchi']","['""Eternal Wind ~ Hohoemi wa Hikaru Kaze no Naka (Smile in the Shining Wind)"" by Hiroko Moriguchi']","In the year 123 of the Universal Century, skirmishes between the Federation government and the rebel group Crossbones Vanguard echo across Earth's space colonies. One of these small battles breaks in the hometown of young Seabook Arno, forcing him and his friends to flee and ensnaring them in the political turmoil that is quickly evolving into an all-out war. Seabook meets Cecily Fairchild, granddaughter of the aristocrat Meitzer Ronah, who seeks to create a new political power called ""Cosmo Babylonia."" Using the Crossbone Vanguard as its muscle, the Ronah family schemes to restore aristocratic rule and establish an economic system that will benefit the nobility, thus devastating the quality of life for the common people of the Earth Sphere. Seabook is tasked with piloting the Gundam F91, a mobile suit created by his mother, and must choose between protecting the status Federation's status quo or cooperating with Cecily to find a better way of life for all. [Written by MAL Rewrite]","{'Adaptation': [{'mal_id': 16456, 'type': 'manga', 'name': 'Kidou Senshi Gundam F91', 'url': 'https://myanimelist.net/manga/16456/Kidou_Senshi_Gundam_F91'}, {'mal_id': 97057, 'type': 'manga', 'name': 'Kidou Senshi Gundam F91: Cross Bone Vanguard', 'url': 'https://myanimelist.net/manga/97057/Kidou_Senshi_Gundam_F91__Cross_Bone_Vanguard'}], 'Sequel': [{'mal_id': 89, 'type': 'anime', 'name': 'Mobile Suit Victory Gundam', 'url': 'https://myanimelist.net/anime/89/Mobile_Suit_Victory_Gundam'}], 'Prequel': [{'mal_id': 6336, 'type': 'anime', 'name': 'Mobile Suit Gundam Unicorn', 'url': 'https://myanimelist.net/anime/6336/Mobile_Suit_Gundam_Unicorn'}, {'mal_id': 36436, 'type': 'anime', 'name': 'Mobile Suit Gundam: Twilight Axis - Akaki Zan-ei', 'url': 'https://myanimelist.net/anime/36436/Mobile_Suit_Gundam__Twilight_Axis_-_Akaki_Zan-ei'}], 'Summary': [{'mal_id': 40464, 'type': 'anime', 'name': 'Mobile Suit Gundam: Hikaru Inochi Chronicle U.C.', 'url': 'https://myanimelist.net/anime/40464/Mobile_Suit_Gundam__Hikaru_Inochi_Chronicle_UC'}]}",centuri nagoya broadcast group univers thus quo naka find friend devast system quick restor govern across moriguchi cooper econom skirmish rule protect crossbon rebel seabook fairchild suit kimi war mitsumet use echo life polit seek evolv musa time network militari hohoemi mother sotsu small cecili way granddaught new creat must space etern earth young coloni feder status qualiti battl nobil mobil break drama establish smile cosmo hometown task pilot peopl meet kaze see sphere hikaru gundam shochiku call turmoil choos shine wind babylonia one famili arno power muscl year vanguard hiroko ateli mecha common better aristocrat sci forc benefit scheme ronah flee meitzer ensnar
